ClientID;Name;ContactName;Country;Email;Phone
b5c1f271-4fb6-4cf4-a626-6ab3df985246;King-Hines;Megan Jones;Uruguay;cbutler@example.com;262-626-5857x30814
fe3f3cbd-a760-47a9-8363-ae3386a91a76;Hood and Sons;John Garcia;Turkey;andersonzachary@example.net;421-914-6725
9baf2990-839d-4064-81c0-b05caaf23c27;Walker-Green;Mr. David Johnson;Falkland Islands (Malvinas);paul94@example.net;001-924-624-8285x350
153509fb-899f-42c0-82e0-f02b4119f77a;Thomas and Sons;Nicole Morales;Hungary;jorgesoto@example.net;+1-874-929-5863x4629
e6eeb44b-fb8c-4015-bce8-727f7868c337;Ruiz and Sons;Ashley Brady;Madagascar;david36@example.org;545-374-0539
36830d39-8965-4bac-836f-3d98b5b9461c;Smith and Sons;Jocelyn Meza;Estonia;perezemily@example.org;001-292-850-8502x01672
dac6a36b-d96b-4298-82e3-019a4dddf966;Harrington and Sons;Kristin Leon;Cuba;crodriguez@example.net;001-225-371-0475x6094
780bcfa7-335a-4020-a21d-f79e331f4cfd;Newman Group;Taylor Herring;Libyan Arab Jamahiriya;brianacooper@example.org;(840)345-0285x90898
c1cbea50-ef90-4d0f-8d52-858079c49f39;Adkins-Clark;Michael Hale;Ecuador;thomasjanice@example.com;346-280-5845x2585
292d70dc-52cd-4122-9364-3d79833476ba;Shepherd-Beasley;Gregory Johns;Jamaica;howellmarisa@example.org;001-517-772-6806x6159
7b8ae9ac-df41-43bf-aff3-7a9c65beac47;Price Group;April Evans;Montserrat;edward51@example.net;9887090609
c3a65709-c171-4b66-997c-a2241c6e51c8;Peterson, Page and Simon;Kenneth Moon;Mauritania;mary15@example.org;945.727.0084
efb899d2-cf37-44d9-a8ed-671eb8cbe76b;Miller, Roach and Perez;Travis Mccarthy;New Caledonia;fknight@example.org;+1-837-731-9534x7065
0a80e659-58af-4bbc-82c6-f41772521e3c;Peterson PLC;Brittany Mccoy;Portugal;mark28@example.net;811-290-9242x1398
a09fa713-bc27-44ca-b110-bf64c41b7bd4;Barnett-Davies;Jack Kelly;Guinea-Bissau;johnsoneric@example.net;(605)352-4537x4677
6afd26b5-147e-46aa-8674-f4865a2df095;Lynch-Cohen;Erin Smith;Nauru;williamwright@example.net;308-786-5968x106
3ecd4b2c-5924-4c72-ae5c-a39d166315c2;Bailey Ltd;Kevin Martinez;Tanzania;zunigajessica@example.org;840.525.0584x784
4f2e14ca-db86-4617-974e-0dce25bdb465;Campbell, Gibson and King;Hannah Parker;Luxembourg;marymitchell@example.org;001-823-715-7629x001
8916375b-b98a-466a-9a75-ee7e741b3229;Ibarra LLC;Kelsey Carpenter;Tajikistan;vwhite@example.net;001-365-919-8250x48354
